datetime,WD50M,WS50M
08/05/2025 00:00,208.4,3.56
08/05/2025 01:00,216.7,3.59
08/05/2025 02:00,223.2,3.91
08/05/2025 03:00,226.6,4.12
08/05/2025 04:00,228.1,4.04
08/05/2025 05:00,227.2,3.87
08/05/2025 06:00,225.2,3.62
08/05/2025 07:00,223.2,3.8
08/05/2025 08:00,221.1,3.95
08/05/2025 09:00,218.9,4.03
08/05/2025 10:00,220.3,4.22
08/05/2025 11:00,223.2,4.58
08/05/2025 12:00,224.7,4.86
08/05/2025 13:00,223.3,5.13
08/05/2025 14:00,218.7,5.06
08/05/2025 15:00,211.4,4.92
08/05/2025 16:00,205.2,4.92
08/05/2025 17:00,196.7,4.71
08/05/2025 18:00,193.5,4.79
08/05/2025 19:00,195.3,4.87
08/05/2025 20:00,196.8,4.84
08/05/2025 21:00,197.6,4.85
08/05/2025 22:00,202.6,4.73
08/05/2025 23:00,207.2,4.52
08/06/2025 00:00,210.4,4.41
08/06/2025 01:00,214.7,4.57
08/06/2025 02:00,220.1,4.66
08/06/2025 03:00,228.1,4.72
08/06/2025 04:00,237.3,4.8
08/06/2025 05:00,242.8,4.59
08/06/2025 06:00,245.8,4.22
08/06/2025 07:00,246.8,3.63
08/06/2025 08:00,244.3,3.43
08/06/2025 09:00,242.2,3.46
08/06/2025 10:00,240.6,3.73
08/06/2025 11:00,240.6,4.37
08/06/2025 12:00,240.3,4.87
08/06/2025 13:00,237.5,4.95
08/06/2025 14:00,229.4,4.55
08/06/2025 15:00,215.3,4.15
08/06/2025 16:00,201.5,4.23
08/06/2025 17:00,191.3,4.35
08/06/2025 18:00,189,4.54
08/06/2025 19:00,188.7,4.74
08/06/2025 20:00,187.2,4.84
08/06/2025 21:00,187.8,5.17
08/06/2025 22:00,192.9,5.19
08/06/2025 23:00,197.6,5.03
