Turbine_ID,datetime,Active_Power,Wind_Speed_10m,Wind_Direction_50m,Wind_Speed_50m,Temperature,Relative_Humidity,Surface_Pressure,Precipitation
WTG01,2024-01-01 00:00:00,1325.088,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG02,2024-01-01 00:00:00,1203.4986666666666,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG03,2024-01-01 00:00:00,1128.288,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG04,2024-01-01 00:00:00,1217.8133333333333,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG05,2024-01-01 00:00:00,1204.5013333333334,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG06,2024-01-01 00:00:00,1170.0159999999998,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG07,2024-01-01 00:00:00,1209.1413333333333,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG08,2024-01-01 00:00:00,1237.8453333333334,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG09,2024-01-01 00:00:00,1122.4853333333333,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG10,2024-01-01 00:00:00,1090.528,5.52,34.9,7.76,25.3,87.5,100.92,0.9
WTG01,2024-01-01 01:00:00,1280.2346666666667,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG02,2024-01-01 01:00:00,1253.8026666666667,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG03,2024-01-01 01:00:00,1301.76,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG04,2024-01-01 01:00:00,1369.184,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG05,2024-01-01 01:00:00,1192.0853333333332,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG06,2024-01-01 01:00:00,1168.512,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG07,2024-01-01 01:00:00,1325.3546666666668,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG08,2024-01-01 01:00:00,1224.96,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG09,2024-01-01 01:00:00,1121.536,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG10,2024-01-01 01:00:00,1219.1253333333332,5.72,30.7,7.99,25.29,87.64,100.84,0.86
WTG01,2024-01-01 02:00:00,1460.3733333333332,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG02,2024-01-01 02:00:00,1537.6000000000001,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG03,2024-01-01 02:00:00,1517.6213333333333,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG04,2024-01-01 02:00:00,1510.8906666666664,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG05,2024-01-01 02:00:00,1492.64,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG06,2024-01-01 02:00:00,1497.9306666666669,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG07,2024-01-01 02:00:00,1502.7413333333334,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG08,2024-01-01 02:00:00,1444.5866666666668,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG09,2024-01-01 02:00:00,1370.7306666666666,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG10,2024-01-01 02:00:00,1378.272,5.99,27.7,8.24,25.28,87.65,100.8,0.87
WTG01,2024-01-01 03:00:00,1616.9279999999999,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG02,2024-01-01 03:00:00,1618.3253333333332,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG03,2024-01-01 03:00:00,1425.312,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG04,2024-01-01 03:00:00,1453.696,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG05,2024-01-01 03:00:00,1481.728,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG06,2024-01-01 03:00:00,1426.6666666666667,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG07,2024-01-01 03:00:00,1745.0453333333335,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG08,2024-01-01 03:00:00,1617.504,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG09,2024-01-01 03:00:00,1524.7146666666667,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG10,2024-01-01 03:00:00,1314.6346666666666,6.15,25.7,8.38,25.25,87.73,100.82,1.17
WTG01,2024-01-01 04:00:00,1173.4933333333333,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG02,2024-01-01 04:00:00,1281.28,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG03,2024-01-01 04:00:00,1276.512,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG04,2024-01-01 04:00:00,1348.384,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG05,2024-01-01 04:00:00,1326.9333333333334,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG06,2024-01-01 04:00:00,1269.9733333333334,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG07,2024-01-01 04:00:00,1227.4666666666667,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG08,2024-01-01 04:00:00,1205.4186666666667,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG09,2024-01-01 04:00:00,1370.4853333333333,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG10,2024-01-01 04:00:00,1124.4053333333334,6.3,25.6,8.53,25.23,87.74,100.88,0.98
WTG01,2024-01-01 05:00:00,1404.0,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG02,2024-01-01 05:00:00,1265.5786666666665,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG03,2024-01-01 05:00:00,1282.1013333333333,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG04,2024-01-01 05:00:00,1442.3573333333334,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG05,2024-01-01 05:00:00,1651.392,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG06,2024-01-01 05:00:00,1520.2773333333334,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG07,2024-01-01 05:00:00,1570.2933333333333,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG08,2024-01-01 05:00:00,1302.1333333333334,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG09,2024-01-01 05:00:00,1452.1386666666667,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG10,2024-01-01 05:00:00,1505.92,6.28,26.7,8.54,25.18,87.78,100.98,0.79
WTG01,2024-01-01 06:00:00,1377.301333333333,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG02,2024-01-01 06:00:00,1342.304,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG03,2024-01-01 06:00:00,1390.304,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG04,2024-01-01 06:00:00,1273.4293333333333,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG05,2024-01-01 06:00:00,1406.3573333333334,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG06,2024-01-01 06:00:00,1313.7493333333334,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG07,2024-01-01 06:00:00,1398.5173333333332,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG08,2024-01-01 06:00:00,1385.888,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG09,2024-01-01 06:00:00,1163.9253333333334,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG10,2024-01-01 06:00:00,1188.4586666666667,6.34,27.9,8.16,25.54,86.79,101.08,0.81
WTG01,2024-01-01 07:00:00,1360.2346666666665,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG02,2024-01-01 07:00:00,1031.0933333333335,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG03,2024-01-01 07:00:00,888.9279999999999,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG04,2024-01-01 07:00:00,1118.1013333333333,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG05,2024-01-01 07:00:00,1461.696,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG06,2024-01-01 07:00:00,1619.1786666666667,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG07,2024-01-01 07:00:00,1720.32,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG08,2024-01-01 07:00:00,1382.816,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG09,2024-01-01 07:00:00,1244.3306666666667,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG10,2024-01-01 07:00:00,1011.3066666666667,6.47,29.5,7.65,26.27,84.52,101.2,1.11
WTG01,2024-01-01 08:00:00,1400.96,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG02,2024-01-01 08:00:00,1633.1306666666667,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG03,2024-01-01 08:00:00,1864.32,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG04,2024-01-01 08:00:00,1840.1386666666667,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG05,2024-01-01 08:00:00,1495.5200000000002,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG06,2024-01-01 08:00:00,1740.192,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG07,2024-01-01 08:00:00,1509.493333333333,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG08,2024-01-01 08:00:00,1685.28,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG09,2024-01-01 08:00:00,1547.0293333333332,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG10,2024-01-01 08:00:00,1428.4266666666665,6.69,30.2,7.82,26.89,81.32,101.26,1.33
WTG01,2024-01-01 09:00:00,1896.2240000000002,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG02,2024-01-01 09:00:00,1869.664,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG03,2024-01-01 09:00:00,1894.9440000000002,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG04,2024-01-01 09:00:00,2052.064,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG05,2024-01-01 09:00:00,1807.584,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG06,2024-01-01 09:00:00,1814.4746666666667,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG07,2024-01-01 09:00:00,2025.0453333333332,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG08,2024-01-01 09:00:00,1627.7866666666666,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG09,2024-01-01 09:00:00,1763.4560000000001,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG10,2024-01-01 09:00:00,1790.7520000000002,6.66,30.7,7.69,27.41,79.17,101.25,2.05
WTG01,2024-01-01 10:00:00,2079.808,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG02,2024-01-01 10:00:00,2069.3013333333333,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG03,2024-01-01 10:00:00,2027.7546666666667,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG04,2024-01-01 10:00:00,2140.6293333333333,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG05,2024-01-01 10:00:00,2061.5253333333335,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG06,2024-01-01 10:00:00,1975.9786666666666,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG07,2024-01-01 10:00:00,2361.088,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG08,2024-01-01 10:00:00,2034.2506666666668,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG09,2024-01-01 10:00:00,2364.512,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG10,2024-01-01 10:00:00,2590.8906666666667,6.65,31.1,7.63,27.8,77.75,101.17,3.6
WTG01,2024-01-01 11:00:00,2343.9786666666664,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG02,2024-01-01 11:00:00,2166.08,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG03,2024-01-01 11:00:00,2465.408,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG04,2024-01-01 11:00:00,2040.9066666666665,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG05,2024-01-01 11:00:00,2481.6746666666663,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG06,2024-01-01 11:00:00,1352.096,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG07,2024-01-01 11:00:00,2260.3306666666667,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG08,2024-01-01 11:00:00,2163.9146666666666,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG09,2024-01-01 11:00:00,2170.4,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG10,2024-01-01 11:00:00,2260.1493333333333,6.62,31.1,7.58,28.02,77.05,101.06,9.75
WTG01,2024-01-01 12:00:00,1954.7626666666667,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG02,2024-01-01 12:00:00,1679.7653333333335,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG03,2024-01-01 12:00:00,1726.6346666666668,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG04,2024-01-01 12:00:00,1632.128,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG05,2024-01-01 12:00:00,1970.9973333333335,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG06,2024-01-01 12:00:00,1855.1786666666667,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG07,2024-01-01 12:00:00,2014.464,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG08,2024-01-01 12:00:00,1843.808,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG09,2024-01-01 12:00:00,1674.7946666666667,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG10,2024-01-01 12:00:00,1748.5013333333334,6.55,30.9,7.5,28.08,76.86,100.94,10.74
WTG01,2024-01-01 13:00:00,1636.2346666666665,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG02,2024-01-01 13:00:00,1453.5466666666669,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG03,2024-01-01 13:00:00,1550.7839999999999,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG04,2024-01-01 13:00:00,1293.9306666666666,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG05,2024-01-01 13:00:00,1778.5493333333334,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG06,2024-01-01 13:00:00,1596.768,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG07,2024-01-01 13:00:00,1562.336,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG08,2024-01-01 13:00:00,1738.0906666666667,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG09,2024-01-01 13:00:00,1782.3253333333332,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG10,2024-01-01 13:00:00,1655.7120000000002,6.56,30.4,7.53,28.0,77.15,100.85,11.41
WTG01,2024-01-01 14:00:00,1445.2160000000001,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG02,2024-01-01 14:00:00,1663.3919999999998,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG03,2024-01-01 14:00:00,1386.7093333333332,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG04,2024-01-01 14:00:00,1614.656,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG05,2024-01-01 14:00:00,1458.0586666666668,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG06,2024-01-01 14:00:00,1446.1866666666665,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG07,2024-01-01 14:00:00,1537.8239999999998,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG08,2024-01-01 14:00:00,1420.064,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG09,2024-01-01 14:00:00,1423.9146666666668,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG10,2024-01-01 14:00:00,1373.6853333333331,6.72,30.2,7.79,27.69,78.18,100.81,10.25
WTG01,2024-01-01 15:00:00,1318.1226666666666,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG02,2024-01-01 15:00:00,1264.16,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG03,2024-01-01 15:00:00,1304.2133333333334,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG04,2024-01-01 15:00:00,1340.608,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG05,2024-01-01 15:00:00,1250.8799999999999,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG06,2024-01-01 15:00:00,1340.6826666666666,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG07,2024-01-01 15:00:00,1433.5146666666667,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG08,2024-01-01 15:00:00,1085.9093333333333,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG09,2024-01-01 15:00:00,1035.1786666666667,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG10,2024-01-01 15:00:00,1353.8986666666667,6.75,31.1,8.01,27.16,80.36,100.83,9.98
WTG01,2024-01-01 16:00:00,1111.8613333333335,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG02,2024-01-01 16:00:00,1141.76,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG03,2024-01-01 16:00:00,653.6106666666667,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG04,2024-01-01 16:00:00,1000.6613333333333,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG05,2024-01-01 16:00:00,1083.488,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG06,2024-01-01 16:00:00,1110.0053333333333,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG07,2024-01-01 16:00:00,1077.0773333333334,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG08,2024-01-01 16:00:00,829.9733333333334,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG09,2024-01-01 16:00:00,1065.088,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG10,2024-01-01 16:00:00,1154.8906666666667,6.54,32.3,8.14,26.56,82.88,100.88,8.41
WTG01,2024-01-01 17:00:00,1108.736,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG02,2024-01-01 17:00:00,1092.512,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG03,2024-01-01 17:00:00,926.8373333333333,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG04,2024-01-01 17:00:00,1107.2,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG05,2024-01-01 17:00:00,1069.0026666666668,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG06,2024-01-01 17:00:00,1076.224,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG07,2024-01-01 17:00:00,991.1786666666667,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG08,2024-01-01 17:00:00,946.4533333333333,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG09,2024-01-01 17:00:00,917.6213333333334,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG10,2024-01-01 17:00:00,1064.5226666666667,6.24,33.5,8.31,25.83,85.21,100.96,5.35
WTG01,2024-01-01 18:00:00,1078.9866666666667,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG02,2024-01-01 18:00:00,1005.4720000000001,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG03,2024-01-01 18:00:00,933.4933333333333,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG04,2024-01-01 18:00:00,1016.0106666666667,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG05,2024-01-01 18:00:00,1001.4826666666668,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG06,2024-01-01 18:00:00,976.2026666666667,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG07,2024-01-01 18:00:00,909.5893333333333,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG08,2024-01-01 18:00:00,884.9386666666666,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG09,2024-01-01 18:00:00,915.7653333333333,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG10,2024-01-01 18:00:00,917.056,6.21,35.2,8.37,25.52,85.74,101.04,3.3
WTG01,2024-01-01 19:00:00,848.1173333333332,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG02,2024-01-01 19:00:00,1002.0053333333334,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG03,2024-01-01 19:00:00,884.9920000000001,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG04,2024-01-01 19:00:00,910.9119999999999,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG05,2024-01-01 19:00:00,973.984,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG06,2024-01-01 19:00:00,904.5120000000001,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG07,2024-01-01 19:00:00,1217.5786666666665,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG08,2024-01-01 19:00:00,1020.6613333333333,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG09,2024-01-01 19:00:00,938.7199999999999,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG10,2024-01-01 19:00:00,1010.1333333333333,6.17,37.7,8.37,25.37,85.88,101.11,1.45
WTG01,2024-01-01 20:00:00,999.1146666666667,6.0,41.6,8.25,25.27,86.12,101.14,0.64
WTG02,2024-01-01 20:00:00,1115.104,6.0,41.6,8.25,25.27,86.12,101.14,0.64
WTG03,2024-01-01 20:00:00,1114.7306666666666,6.0,41.6,8.25,25.27,86.12,101.14,0.64
WTG04,2024-01-01 20:00:00,953.0880000000001,6.0,41.6,8.25,25.27,86.12,101.14,0.64
