datetime_utc,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,wind_shear,temp_dewpoint_diff,has_precipitation
2024-09-01 00:00:00,27.7,24.5,26.1,19.24,82.65,0.2,100.49,7.94,229.3,9.82,229.3,1.88,3.1999999999999993,1
2024-09-01 01:00:00,27.59,24.4,26.0,19.14,82.7,0.21,100.42,7.9,230.2,9.81,230.2,1.9100000000000001,3.1900000000000013,1
2024-09-01 02:00:00,27.5,24.34,25.92,19.09,82.89,0.22,100.38,7.77,233.3,9.68,233.2,1.9100000000000001,3.16,1
2024-09-01 03:00:00,27.43,24.33,25.88,19.08,83.19,0.18,100.38,7.54,236.9,9.47,236.7,1.9300000000000006,3.1000000000000014,1
2024-09-01 04:00:00,27.39,24.36,25.88,19.1,83.51,0.2,100.44,7.19,238.6,9.1,238.1,1.9099999999999993,3.030000000000001,1
2024-09-01 05:00:00,27.39,24.4,25.9,19.13,83.7,0.12,100.51,6.85,239.1,8.72,238.6,1.870000000000001,2.990000000000002,1
2024-09-01 06:00:00,27.91,24.45,26.18,19.18,81.48,0.11,100.59,7.04,238.5,8.4,238.8,1.3600000000000003,3.460000000000001,1
2024-09-01 07:00:00,28.68,24.31,26.49,18.99,77.21,0.12,100.67,7.7,241.6,9.09,242.8,1.3899999999999997,4.370000000000001,1
2024-09-01 08:00:00,29.32,24.12,26.72,18.79,73.65,0.12,100.7,7.88,244.6,9.14,245.8,1.2600000000000007,5.199999999999999,1
2024-09-01 09:00:00,30.07,23.97,27.02,18.63,69.93,0.12,100.68,8.09,246.5,9.29,247.7,1.1999999999999993,6.100000000000001,1
2024-09-01 10:00:00,30.84,23.8,27.32,18.46,66.27,0.12,100.62,8.3,248.1,9.49,249.3,1.1899999999999995,7.039999999999999,1
2024-09-01 11:00:00,31.46,23.64,27.55,18.31,63.41,0.12,100.53,8.56,249.3,9.82,250.4,1.2599999999999998,7.82,1
2024-09-01 12:00:00,31.78,23.53,27.66,18.21,61.86,0.1,100.42,8.8,249.0,10.13,250.0,1.33,8.25,0
2024-09-01 13:00:00,31.85,23.47,27.66,18.16,61.39,0.04,100.32,8.93,247.3,10.34,248.2,1.4100000000000001,8.380000000000003,0
2024-09-01 14:00:00,31.69,23.37,27.53,18.06,61.58,0.04,100.27,8.8,244.2,10.24,245.1,1.4399999999999995,8.32,0
2024-09-01 15:00:00,31.2,23.37,27.29,18.07,63.34,0.02,100.26,8.44,238.9,9.91,239.8,1.4700000000000006,7.829999999999998,0
2024-09-01 16:00:00,30.45,23.63,27.04,18.34,67.11,0.02,100.29,8.16,231.0,9.72,232.0,1.5600000000000005,6.82,0
2024-09-01 17:00:00,29.58,24.21,26.9,18.98,73.02,0.02,100.34,7.91,222.1,9.59,222.9,1.6799999999999997,5.369999999999997,0
2024-09-01 18:00:00,28.92,24.83,26.88,19.68,78.65,0.01,100.39,7.96,217.6,9.7,218.1,1.7399999999999993,4.090000000000003,0
2024-09-01 19:00:00,28.61,25.19,26.9,20.08,81.73,0.01,100.44,8.11,218.9,9.83,219.1,1.7200000000000006,3.419999999999998,0
2024-09-01 20:00:00,28.48,25.32,26.9,20.22,82.97,0.02,100.5,7.94,223.2,9.71,223.2,1.7700000000000005,3.16,0
2024-09-01 21:00:00,28.4,25.22,26.81,20.09,82.87,0.02,100.56,7.74,228.5,9.5,228.3,1.7599999999999998,3.1799999999999997,0
2024-09-01 22:00:00,28.28,25.09,26.69,19.91,82.72,0.05,100.57,7.61,233.5,9.39,233.1,1.7800000000000002,3.1900000000000013,0
2024-09-01 23:00:00,28.13,24.98,26.55,19.79,82.92,0.04,100.53,7.62,238.2,9.4,238.1,1.7800000000000002,3.1499999999999986,0
2024-09-02 00:00:00,28.0,24.88,26.44,19.7,83.12,0.03,100.47,7.63,242.4,9.42,242.4,1.79,3.120000000000001,0
2024-09-02 01:00:00,27.89,24.83,26.36,19.64,83.36,0.02,100.41,7.54,245.8,9.34,245.8,1.7999999999999998,3.0600000000000023,0
2024-09-02 02:00:00,27.8,24.78,26.29,19.6,83.6,0.01,100.38,7.37,248.1,9.2,248.2,1.8299999999999992,3.0199999999999996,0
2024-09-02 03:00:00,27.75,24.77,26.26,19.58,83.76,0.01,100.39,7.13,249.4,8.96,249.6,1.830000000000001,2.9800000000000004,0
2024-09-02 04:00:00,27.73,24.78,26.26,19.59,83.93,0.01,100.42,6.84,250.0,8.69,250.1,1.8499999999999996,2.9499999999999993,0
2024-09-02 05:00:00,27.73,24.84,26.29,19.64,84.19,0.01,100.47,6.62,249.4,8.46,249.5,1.8400000000000007,2.8900000000000006,0
2024-09-02 06:00:00,28.2,24.9,26.55,19.7,82.23,0.0,100.55,6.65,248.6,7.96,249.0,1.3099999999999996,3.3000000000000007,0
2024-09-02 07:00:00,28.99,24.65,26.82,19.4,77.43,0.01,100.65,6.97,252.0,8.17,252.9,1.2000000000000002,4.34,0
2024-09-02 08:00:00,29.8,24.17,26.98,18.85,71.86,0.01,100.68,6.93,255.9,7.95,256.8,1.0200000000000005,5.629999999999999,0
2024-09-02 09:00:00,30.76,23.72,27.24,18.37,66.3,0.01,100.68,6.84,259.0,7.76,259.9,0.9199999999999999,7.040000000000003,0
2024-09-02 10:00:00,31.6,23.29,27.44,17.91,61.61,0.01,100.64,6.81,261.3,7.7,262.2,0.8900000000000006,8.310000000000002,0
2024-09-02 11:00:00,32.17,22.95,27.56,17.56,58.45,0.33,100.55,6.92,262.4,7.84,263.0,0.9199999999999999,9.220000000000002,1
2024-09-02 12:00:00,32.44,22.72,27.58,17.35,56.83,0.34,100.45,7.06,260.7,8.02,261.3,0.96,9.719999999999999,1
2024-09-02 13:00:00,32.53,22.65,27.59,17.27,56.24,0.64,100.36,7.09,256.6,8.1,257.2,1.0099999999999998,9.880000000000003,1
